,blue,green,red,px,fvfm
0,9,38,29,"[9, 38, 29]",755.0
1,9,52,39,"[9, 52, 39]",779.0
2,13,71,54,"[13, 71, 54]",660.0
3,19,77,65,"[19, 77, 65]",803.0
4,25,81,73,"[25, 81, 73]",784.0
5,15,48,48,"[15, 48, 48]",778.0
6,7,55,38,"[7, 55, 38]",770.0
7,8,63,46,"[8, 63, 46]",779.0
8,9,69,49,"[9, 69, 49]",785.0
9,10,74,53,"[10, 74, 53]",785.0
10,10,76,58,"[10, 76, 58]",797.0
11,11,81,65,"[11, 81, 65]",802.0
12,11,84,73,"[11, 84, 73]",660.0
13,4,40,33,"[4, 40, 33]",807.0
14,9,73,59,"[9, 73, 59]",769.0
15,14,79,61,"[14, 79, 61]",797.0
16,21,87,72,"[21, 87, 72]",784.0
17,34,101,86,"[34, 101, 86]",660.0
18,27,92,78,"[27, 92, 78]",768.0
19,33,97,88,"[33, 97, 88]",660.0
20,14,65,50,"[14, 65, 50]",774.0
21,19,87,70,"[19, 87, 70]",769.0
22,19,87,68,"[19, 87, 68]",759.0
23,14,86,66,"[14, 86, 66]",772.0
24,21,90,69,"[21, 90, 69]",660.0
25,26,100,83,"[26, 100, 83]",802.0
26,31,105,92,"[31, 105, 92]",781.0
27,24,93,85,"[24, 93, 85]",775.0
28,11,50,46,"[11, 50, 46]",767.0
29,15,65,44,"[15, 65, 44]",784.0
30,13,70,47,"[13, 70, 47]",795.0
31,20,76,52,"[20, 76, 52]",795.0
32,17,75,51,"[17, 75, 51]",791.0
33,15,75,51,"[15, 75, 51]",774.0
34,14,76,52,"[14, 76, 52]",782.0
35,15,77,54,"[15, 77, 54]",786.0
36,16,82,57,"[16, 82, 57]",787.0
37,19,89,64,"[19, 89, 64]",795.0
38,19,94,70,"[19, 94, 70]",794.0
39,16,96,74,"[16, 96, 74]",660.0
40,13,93,76,"[13, 93, 76]",660.0
41,14,88,77,"[14, 88, 77]",660.0
42,34,93,90,"[34, 93, 90]",660.0
43,5,30,28,"[5, 30, 28]",660.0
44,20,76,75,"[20, 76, 75]",660.0
45,33,89,91,"[33, 89, 91]",660.0
46,36,91,95,"[36, 91, 95]",660.0
47,29,72,74,"[29, 72, 74]",660.0
48,15,34,37,"[15, 34, 37]",660.0
49,11,21,22,"[11, 21, 22]",660.0
50,12,22,25,"[12, 22, 25]",660.0
51,18,37,39,"[18, 37, 39]",660.0
52,33,71,73,"[33, 71, 73]",660.0
53,30,76,76,"[30, 76, 76]",805.0
54,24,81,76,"[24, 81, 76]",788.0
55,21,83,70,"[21, 83, 70]",793.0
56,21,87,67,"[21, 87, 67]",772.0
57,23,88,66,"[23, 88, 66]",797.0
58,22,88,65,"[22, 88, 65]",769.0
59,25,93,69,"[25, 93, 69]",790.0
60,31,103,79,"[31, 103, 79]",788.0
61,38,115,96,"[38, 115, 96]",796.0
62,23,100,83,"[23, 100, 83]",784.0
63,28,105,86,"[28, 105, 86]",804.0
64,30,105,91,"[30, 105, 91]",776.0
65,18,80,65,"[18, 80, 65]",780.0
66,10,65,46,"[10, 65, 46]",781.0
67,9,57,40,"[9, 57, 40]",788.0
68,14,71,50,"[14, 71, 50]",808.0
69,17,76,54,"[17, 76, 54]",794.0
70,15,76,53,"[15, 76, 53]",777.0
71,18,81,58,"[18, 81, 58]",781.0
72,19,83,60,"[19, 83, 60]",782.0
73,17,82,59,"[17, 82, 59]",775.0
74,21,85,62,"[21, 85, 62]",780.0
75,16,83,60,"[16, 83, 60]",784.0
76,15,84,59,"[15, 84, 59]",794.0
77,20,88,64,"[20, 88, 64]",786.0
78,24,96,74,"[24, 96, 74]",783.0
79,29,103,86,"[29, 103, 86]",783.0
80,26,98,83,"[26, 98, 83]",801.0
81,9,80,60,"[9, 80, 60]",789.0
82,2,71,47,"[2, 71, 47]",791.0
83,6,72,47,"[6, 72, 47]",792.0
84,12,76,52,"[12, 76, 52]",780.0
85,15,77,52,"[15, 77, 52]",784.0
86,19,79,54,"[19, 79, 54]",783.0
87,21,79,53,"[21, 79, 53]",789.0
88,23,80,56,"[23, 80, 56]",792.0
89,25,82,57,"[25, 82, 57]",799.0
90,19,76,51,"[19, 76, 51]",794.0
91,19,76,50,"[19, 76, 50]",793.0
92,20,79,53,"[20, 79, 53]",787.0
93,19,79,54,"[19, 79, 54]",795.0
94,18,82,55,"[18, 82, 55]",792.0
95,18,87,60,"[18, 87, 60]",774.0
96,16,90,64,"[16, 90, 64]",807.0
97,21,96,69,"[21, 96, 69]",795.0
98,29,102,82,"[29, 102, 82]",793.0
99,37,106,96,"[37, 106, 96]",812.0
100,12,45,40,"[12, 45, 40]",788.0
101,10,68,49,"[10, 68, 49]",760.0
102,18,82,64,"[18, 82, 64]",784.0
103,24,90,73,"[24, 90, 73]",777.0
104,35,110,94,"[35, 110, 94]",801.0
105,36,114,102,"[36, 114, 102]",787.0
106,36,114,111,"[36, 114, 111]",786.0
107,35,111,109,"[35, 111, 109]",787.0
108,43,111,112,"[43, 111, 112]",768.0
109,34,92,97,"[34, 92, 97]",786.0
110,29,84,89,"[29, 84, 89]",788.0
111,29,83,89,"[29, 83, 89]",779.0
112,32,86,92,"[32, 86, 92]",784.0
113,36,92,92,"[36, 92, 92]",770.0
114,34,97,92,"[34, 97, 92]",779.0
115,32,99,88,"[32, 99, 88]",803.0
116,26,93,75,"[26, 93, 75]",794.0
117,27,94,73,"[27, 94, 73]",801.0
118,34,100,77,"[34, 100, 77]",781.0
119,39,104,82,"[39, 104, 82]",784.0
120,35,100,77,"[35, 100, 77]",768.0
121,27,92,69,"[27, 92, 69]",781.0
122,23,90,65,"[23, 90, 65]",791.0
123,23,94,67,"[23, 94, 67]",782.0
124,22,96,69,"[22, 96, 69]",796.0
125,26,99,72,"[26, 99, 72]",800.0
126,27,102,77,"[27, 102, 77]",781.0
127,23,94,69,"[23, 94, 69]",770.0
128,20,87,62,"[20, 87, 62]",785.0
129,18,84,60,"[18, 84, 60]",799.0
130,19,81,57,"[19, 81, 57]",807.0
131,21,81,57,"[21, 81, 57]",797.0
132,21,80,57,"[21, 80, 57]",777.0
133,20,79,54,"[20, 79, 54]",784.0
134,19,79,55,"[19, 79, 55]",784.0
135,19,77,54,"[19, 77, 54]",778.0
136,17,76,51,"[17, 76, 51]",783.0
137,19,79,55,"[19, 79, 55]",786.0
138,19,81,56,"[19, 81, 56]",791.0
139,18,81,57,"[18, 81, 57]",784.0
140,20,83,58,"[20, 83, 58]",784.0
141,23,88,63,"[23, 88, 63]",784.0
142,23,87,62,"[23, 87, 62]",802.0
143,15,77,52,"[15, 77, 52]",789.0
144,6,66,42,"[6, 66, 42]",791.0
145,10,70,43,"[10, 70, 43]",792.0
146,18,76,51,"[18, 76, 51]",781.0
147,20,79,53,"[20, 79, 53]",784.0
148,25,80,56,"[25, 80, 56]",784.0
149,25,78,55,"[25, 78, 55]",789.0
150,24,78,54,"[24, 78, 54]",793.0
151,23,79,54,"[23, 79, 54]",796.0
152,20,74,49,"[20, 74, 49]",793.0
153,17,72,47,"[17, 72, 47]",793.0
154,17,72,48,"[17, 72, 48]",789.0
155,17,74,48,"[17, 74, 48]",795.0
156,19,77,51,"[19, 77, 51]",793.0
157,18,80,54,"[18, 80, 54]",782.0
158,19,86,57,"[19, 86, 57]",800.0
159,19,90,63,"[19, 90, 63]",790.0
160,30,103,76,"[30, 103, 76]",793.0
161,35,110,88,"[35, 110, 88]",807.0
162,35,106,89,"[35, 106, 89]",795.0
163,24,85,67,"[24, 85, 67]",790.0
164,13,69,50,"[13, 69, 50]",801.0
165,7,64,45,"[7, 64, 45]",807.0
166,7,67,46,"[7, 67, 46]",797.0
167,7,70,46,"[7, 70, 46]",798.0
168,12,77,51,"[12, 77, 51]",780.0
169,9,77,51,"[9, 77, 51]",792.0
170,9,75,50,"[9, 75, 50]",789.0
171,7,74,50,"[7, 74, 50]",788.0
172,11,79,55,"[11, 79, 55]",789.0
173,8,79,53,"[8, 79, 53]",796.0
174,11,82,58,"[11, 82, 58]",802.0
175,20,93,74,"[20, 93, 74]",801.0
176,25,94,85,"[25, 94, 85]",803.0
177,24,84,84,"[24, 84, 84]",805.0
178,16,47,51,"[16, 47, 51]",660.0
179,6,56,39,"[6, 56, 39]",806.0
180,11,72,50,"[11, 72, 50]",660.0
181,18,81,58,"[18, 81, 58]",794.0
182,20,86,64,"[20, 86, 64]",785.0
183,23,91,66,"[23, 91, 66]",760.0
184,22,91,67,"[22, 91, 67]",784.0
185,21,91,69,"[21, 91, 69]",778.0
186,21,95,75,"[21, 95, 75]",800.0
187,20,98,77,"[20, 98, 77]",787.0
188,17,96,74,"[17, 96, 74]",785.0
189,18,95,76,"[18, 95, 76]",788.0
190,21,91,78,"[21, 91, 78]",772.0
191,17,81,71,"[17, 81, 71]",788.0
192,15,81,71,"[15, 81, 71]",787.0
193,18,81,72,"[18, 81, 72]",781.0
194,17,81,69,"[17, 81, 69]",784.0
195,22,86,68,"[22, 86, 68]",773.0
196,27,95,73,"[27, 95, 73]",778.0
197,37,107,85,"[37, 107, 85]",800.0
198,33,103,79,"[33, 103, 79]",791.0
199,25,91,65,"[25, 91, 65]",793.0
200,25,90,65,"[25, 90, 65]",786.0
201,27,91,65,"[27, 91, 65]",785.0
