[0, 838.0]
[2, 837.0]
[4, 836.0]
[6, 835.0]
[7, 834.0]
[9, 833.0]
[11, 832.0]
[12, 831.0]
[16, 829.0]
[18, 828.0]
[20, 827.0]
[21, 826.0]
[23, 825.0]
[25, 824.0]
[26, 823.0]
[28, 822.0]
[30, 821.0]
[32, 820.0]
[33, 819.0]
[35, 818.0]
[37, 817.0]
[39, 816.0]
[40, 815.0]
[42, 814.0]
[45, 813.0]
[48, 812.0]
[52, 811.0]
[55, 810.0]
[59, 809.0]
[62, 808.0]
[66, 807.0]
[69, 806.0]
[73, 805.0]
[76, 804.0]
[80, 803.0]
[83, 802.0]
[86, 801.0]
[88, 800.0]
[90, 799.0]
[92, 798.0]
[94, 797.0]
[97, 796.0]
[100, 795.0]
[104, 794.0]
[108, 793.0]
[112, 792.0]
[117, 791.0]
[123, 790.0]
[129, 789.0]
[136, 788.0]
[141, 787.0]
[145, 786.0]
[150, 785.0]
[154, 784.0]
[157, 783.0]
[160, 782.0]
[162, 781.0]
[165, 780.0]
[167, 779.0]
[169, 778.0]
[171, 777.0]
[171, 776.0]
[171, 775.0]
[171, 774.0]
[171, 773.0]
[171, 772.0]
[171, 771.0]
[171, 770.0]
[171, 769.0]
[171, 768.0]
[171, 767.0]
[171, 766.0]
[171, 765.0]
